case,spd_dif_1min,spd_dif_2min,spd_dif_3min,spd_dif_4min,vol_dif_1min,vol_dif_2min,vol_dif_3min,vol_dif_4min,Weather
0,0,1.18805952,1.150840207,,0,75.52222222,78.70740741,4.155555556,1
0,1.782714483,0.66451469,1.968294429,0.89491787,4.278666667,60.5,8.137037037,2.457333333,0
0,1.094228221,0.412323568,2.112364711,2.013032155,3,59.37037037,63.55555556,3.8,0
0,0.093456589,2.369226119,0.475445229,2.571191754,1.133333333,50.976,48.9037037,10.44,0
0,2.664099431,1.956621398,1.111863035,4.328678133,17.29259259,47.56666667,5.816666667,9.044444444,0
1,14.43419664,0.908936546,1.715815289,3.174962945,7.392592593,47.4537037,10.6922865,3.7375,0
0,0.093003767,2.858987334,0.845903236,1.747880262,3.116666667,45.3375,3.891666667,10.75555556,0
0,2.707665881,2.670829025,8.602042884,1.598721522,34.10833333,38.04583333,6.975,10.27777778,0
0,2.232343347,2.572435677,2.46290014,0,4.891666667,35.90833333,8.988888889,0,0
0,1.639530705,2.331128918,1.849626645,9.181767474,0.866666667,35.6375,3.925,2.483333333,0
1,3.636435372,2.365396772,0.884305271,2.402881636,11.54081633,35.2962963,29.42933333,5.070833333,0
1,3.413014591,7.185391659,7.330108041,9.096898273,30.97592593,35.06133333,3.881481481,8.96875,0
0,7.933171862,3.098690563,0.637160495,1.0193782,8.0125,34.11666667,8.670833333,8.208333333,0
0,5.415603899,2.83065754,0.081875209,3.455163006,12.31111111,33.216,0.4,9.570833333,0
0,2.711443874,4.169972334,6.617895463,4.641320697,40.25185185,33.00533333,10.09166667,20.97083333,1
0,4.777596483,7.056429019,1.717547671,3.492714938,11.75925926,32.73125,5.311111111,10.45208333,0
0,0,0.213466912,1.943741512,5.190475903,38.08333333,32.00740741,2.52962963,17.90925926,0
0,5.537602143,1.999744045,0.596472772,10.75811616,18.7125,32,3.141666667,8.096296296,0
1,4.479620795,2.826733733,1.431693141,2.387966114,12.34166667,29.73981481,12.67083333,7.010666667,0
1,1.509362557,1.673444556,4.131778788,3.53093651,23.20495868,29.41,4.363888889,9.771875,0
0,0.148231857,2.975956598,3.10176843,2.961629247,4.6,28.82,32.58958333,1.616666667,0
0,5.840523952,,9.855372268,12.40400062,5.083333333,28.46851852,4.2625,6.7,0
0,3.970222188,1.929140745,1.283976599,0.429143969,1.714814815,28.45,9.158333333,26.37407407,0
1,2.17790769,1.60123832,1.179661039,0.868429988,20.384,28.17777778,14.548,4.656,0
1,4.329255889,1.88789376,1.563680255,1.329561889,10.98958333,27.53518519,7.964583333,3.835416667,0
0,2.17655847,1.414529757,1.756389632,1.235476322,7.565333333,26.59583333,7.704,3.372,0
1,2.5828698,1.623883519,3.606041878,2.200876198,25.86088154,26.33333333,7.546666667,12.43497942,0
0,0.996337451,3.177658494,2.928039804,1.65234463,8.355555556,25.892,32.77083333,3.75,0
1,2.067431864,3.387626862,3.583112595,1.437277,11.5375,25.33981481,34.06133333,14.43703704,0
1,14.39463604,10.18741532,11.83326418,3.102116402,21.89166667,25.06666667,18.2875,34.848,0
0,1.490183229,4.191162294,2.021458107,1.021908858,7.841666667,24.90133333,7.7125,8.7,0
1,7.126754628,2.837287723,2.945357184,1.977410815,22.52424242,24.394,8.758503401,6.977083333,0
0,0,0.145142905,0.206293706,3.705679486,0,24.25,85.6,0.25,0
